UID,y
2628,149119.82200891958
2629,149975.00670092582
2630,149119.82200891958
2631,136615.19393974546
2632,149119.82200891958
2633,149588.94377116422
2634,149975.00670092582
2635,118597.8984274277
2636,138252.24823549276
2637,150079.25598142465
2638,137414.32727896006
2639,139567.49750535467
2640,116657.23710128682
2641,150444.12846317046
2642,148911.32344792198
2643,149588.94377116422
2644,139259.880135705
2645,149588.94377116422
2646,137501.31282398532
2647,123345.96000230378
2648,147295.45960019043
2649,150079.25598142465
2650,149588.94377116422
2651,149119.82200891958
2652,122825.41043814232
2653,96055.764116275
2654,149588.94377116422
2655,-577.0750606502697
2656,149975.00670092582
2657,150444.12846317046
2658,150339.87918267166
2659,149975.00670092582
2660,149975.00670092582
2661,128336.25500948656
2662,138790.75837346035
2663,123398.08464255318
2664,149484.69449066542
2665,149224.0712894184
2666,148337.9524051785
2667,149922.8820606764
2668,96055.764116275
2669,150339.87918267166
2670,150339.87918267166
2671,139520.503336952
2672,149975.00670092582
2673,138669.245357488
2674,150444.12846317046
2675,150079.25598142465
2676,127950.19207972496
2677,147503.95816118803
2678,138404.69544369876
2679,150444.12846317046
2680,149975.00670092582
2681,150444.12846317046
2682,150444.12846317046
2683,149119.82200891958
2684,149484.69449066542
2685,137501.31282398532
2686,55331.27345765961
2687,150444.12846317046
2688,116661.69447176068
2689,149119.82200891958
2690,149975.00670092582
2691,150339.87918267166
2692,114820.06832755796
2693,139520.503336952
2694,148776.13997518952
2695,149975.00670092582
2696,149588.94377116422
2697,150444.12846317046
2698,150444.12846317046
2699,138769.5679254446
2700,149975.00670092582
2701,128596.87821073359
2702,128487.498458388
2703,149119.82200891958
2704,150339.87918267166
2705,150444.12846317046
2706,149484.69449066542
2707,149484.69449066542
2708,138165.2626904675
2709,149224.0712894184
2710,116370.13707828001
2711,150444.12846317046
2712,114420.33494103627
2713,139520.503336952
2714,139155.6308552062
2715,149975.00670092582
2716,149119.82200891958
2717,149975.00670092582
2718,116655.02596029501
2719,141600.53685349855
2720,148702.82488692435
2721,150444.12846317046
2722,138769.5679254446
2723,149610.13421917998
2724,149975.00670092582
2725,149067.6973686702
2726,150444.12846317046
2727,149119.82200891958
2728,139259.880135705
2729,149484.69449066542
2730,149588.94377116422
2731,149328.3205699172
2732,149975.00670092582
2733,139520.503336952
2734,38619.34011763442
2735,149975.00670092582
2736,150444.12846317046
2737,123950.42567992235
2738,138665.3186449458
2739,150339.87918267166
2740,137397.06354348653
2741,150339.87918267166
2742,148911.32344792198
2743,139520.503336952
2744,89773.5897980601
2745,128440.50428998536
2746,149588.94377116422
2747,138721.3699977374
2748,149975.00670092582
2749,149484.69449066542
2750,149119.82200891958
2751,149641.06841141364
2752,147942.14573119904
2753,149588.94377116422
2754,139155.6308552062
2755,138665.3186449458
2756,149588.94377116422
2757,149975.00670092582
2758,72074.54515724737
2759,133228.27814706307
2760,133228.27814706307
2761,138321.6366112157
2762,148911.32344792198
2763,79536.91402163082
2764,133697.3999093077
2765,110246.21950281302
2766,146482.6558042157
2767,150444.12846317046
2768,139520.503336952
2769,150339.87918267166
2770,149558.0095789306
2771,150444.12846317046
2772,142487.16839646988
2773,150444.12846317046
2774,150079.25598142465
2775,138769.5679254446
2776,149119.82200891958
2777,147160.27612745797
2778,149588.94377116422
2779,136684.5823154684
2780,127481.07031748032
2781,149975.00670092582
2782,145741.62457956764
2783,138769.5679254446
2784,82529.04852122118
2785,149119.82200891958
2786,143557.3417825223
2787,123076.09442746438
2788,147347.5842404398
2789,138669.245357488
2790,90267.72045302295
2791,41204.071075309635
2792,-44634.65427246885
2793,138300.44616319996
2794,149484.69449066542
2795,150444.12846317046
2796,149119.82200891958
2797,149119.82200891958
2798,149588.94377116422
2799,124140.63597104455
2800,117030.49366604871
2801,150079.25598142465
2802,149588.94377116422
2803,111845.01918502407
2804,149975.00670092582
2805,139520.503336952
2806,149588.94377116422
2807,149975.00670092582
2808,117030.49366604871
2809,147920.95528318328
2810,150444.12846317046
2811,150079.25598142465
2812,151950.79093697353
2813,150444.12846317046
2814,139155.6308552062
2815,150339.87918267166
2816,116123.18433379308
2817,148911.32344792198
2818,139155.6308552062
2819,138300.44616319996
2820,148984.63853618712
2821,128273.53514522927
2822,149141.01245693534
2823,148911.32344792198
2824,138665.3186449458
2825,149119.82200891958
2826,122721.90079644033
2827,117994.68100851603
2828,136615.19393974546
2829,34612.542711772505
2830,149975.00670092582
2831,133593.15062880891
2832,149975.00670092582
2833,149975.00670092582
2834,126577.68769776689
2835,149588.94377116422
2836,149975.00670092582
2837,149588.94377116422
2838,137918.30994598058
2839,149484.69449066542
2840,149484.69449066542
2841,149975.00670092582
2842,149975.00670092582
2843,150444.12846317046
2844,150444.12846317046
2845,71709.67267550153
2846,150183.50526192345
2847,131052.89209176524
2848,104442.54560574616
2849,149588.94377116422
2850,152315.66341871937
2851,112010.0278423888
2852,68894.94210203367
2853,76025.65902230001
2854,150339.87918267166
2855,138769.5679254446
2856,72074.54515724737
2857,149975.00670092582
2858,131351.7910980845
2859,87052.74972430502
2860,122725.15440760962
2861,139520.503336952
2862,149119.82200891958
2863,148202.76893244605
2864,149119.82200891958
2865,138300.44616319996
2866,149975.00670092582
2867,149328.3205699172
2868,143192.4693007765
2869,149975.00670092582
2870,150183.50526192345
2871,114735.29392352453
2872,149119.82200891958
2873,8913.498807975178
2874,149588.94377116422
2875,137918.30994598058
2876,124270.00905977101
2877,149975.00670092582
2878,149224.0712894184
2879,137501.31282398532
2880,150339.87918267166
2881,150339.87918267166
2882,149975.00670092582
2883,44696.202767352996
2884,150339.87918267166
2885,138769.5679254446
2886,149975.00670092582
2887,149484.69449066542
2888,149975.00670092582
2889,79832.80300531923
2890,150339.87918267166
2891,149119.82200891958
2892,149484.69449066542
2893,148754.94952717377
2894,149484.69449066542
2895,112960.82707827733
2896,150339.87918267166
2897,149975.00670092582
2898,16162.492804214708
2899,149328.3205699172
2900,149588.94377116422
2901,125990.64619826333
2902,149224.0712894184
2903,138721.3699977374
2904,150444.12846317046
2905,150444.12846317046
2906,149119.82200891958
2907,149193.13709718475
2908,149975.00670092582
2909,116123.18433379308
2910,149975.00670092582
2911,149975.00670092582
2912,149119.82200891958
2913,147295.45960019043
2914,96222.06906576423
2915,83835.24969404427
2916,109497.19923280903
2917,149975.00670092582
2918,117516.87916376692
2919,149975.00670092582
2920,149119.82200891958
2921,150444.12846317046
2922,149588.94377116422
2923,149536.81913091484
2924,117994.68100851603
2925,138769.5679254446
2926,148468.34422712275
2927,149119.82200891958
2928,145627.47111220946
2929,133659.1241042355
2930,150339.87918267166
2931,149536.81913091484
2932,150444.12846317046
2933,105879.39067180872
2934,150079.25598142465
2935,149141.01245693534
2936,150444.12846317046
2937,150444.12846317046
2938,150444.12846317046
2939,150444.12846317046
2940,137518.5765594589
2941,149119.82200891958
2942,139520.503336952
2943,149588.94377116422
2944,138617.12071723858
2945,149975.00670092582
2946,114205.16786857299
2947,149766.50813992822
2948,150339.87918267166
2949,150339.87918267166
2950,137866.18530573117
2951,149975.00670092582
2952,149975.00670092582
2953,148468.34422712275
2954,116661.69447176068
2955,2298.501746797381
2956,149119.82200891958
2957,147577.2732494532
2958,128336.25500948656
2959,150079.25598142465
2960,149119.82200891958
2961,7719.273568889272
2962,150339.87918267166
2963,149975.00670092582
2964,117994.68100851603
2965,149193.13709718475
2966,126298.263567913
2967,138769.5679254446
2968,149975.00670092582
2969,117701.18431917994
2970,116123.18433379308
2971,138665.3186449458
2972,150444.12846317046
2973,149119.82200891958
2974,151585.9184552277
2975,150444.12846317046
2976,133637.95597548463
2977,149975.00670092582
2978,42688.80600772385
2979,149484.69449066542
2980,149119.82200891958
2981,105879.39067180872
2982,149588.94377116422
2983,149975.00670092582
2984,127845.94279922615
2985,138665.3186449458
2986,117516.87916376692
2987,148098.51965194725
2988,132842.21521730148
2989,106999.89317597743
2990,138738.63373321094
2991,149119.82200891958
2992,149119.82200891958
2993,149975.00670092582
2994,149975.00670092582
2995,150339.87918267166
2996,139155.6308552062
2997,117030.49366604871
2998,144412.52647452854
2999,149975.00670092582
3000,70382.49629621096
3001,138665.3186449458
3002,149119.82200891958
3003,149141.01245693534
3004,127845.94279922615
3005,149588.94377116422
3006,138356.49751599156
3007,117994.68100851603
3008,138721.3699977374
3009,150339.87918267166
3010,150079.25598142465
3011,149975.00670092582
3012,150444.12846317046
3013,128336.25500948656
3014,141600.53685349855
3015,149484.69449066542
3016,149119.82200891958
3017,149484.69449066542
3018,137544.71910090433
3019,149975.00670092582
3020,117516.87916376692
3021,139155.6308552062
3022,150444.12846317046
3023,149588.94377116422
3024,126108.56593552225
3025,150339.87918267166
3026,149588.94377116422
3027,149588.94377116422
3028,150444.12846317046
3029,126108.56593552225
3030,43695.04537509446
3031,149588.94377116422
3032,62304.40831438388
3033,149119.82200891958
3034,110629.06710223129
3035,149588.94377116422
3036,128701.12749123239
3037,138300.44616319996
3038,149975.00670092582
3039,139259.880135705
3040,115412.91424676678
